"blk_no","street","max_floor_lvl","year_completed","residential","commercial","market_hawker","miscellaneous","multistorey_carpark","precinct_pavilion","bldg_contract_town","total_dwelling_units","X1room_sold","X2room_sold","X3room_sold","X4room_sold","X5room_sold","exec_sold","multigen_sold","studio_apartment_sold","X1room_rental","X2room_rental","X3room_rental","other_room_rental","postal","address","dist_to_park_centroid","dist_to_park_boundary","park_area","park_length","park_name","diff_boundary_centroid","SVY21_X","SVY21_Y","longitude","latitude"
"653A","PUNGGOL DR",18,2022,"Y","Y","N","N","N","N","PG",189,0,119,0,70,0,0,0,0,0,0,0,0,"821653","653A PUNGGOL DRIVE WATERWAY SUNRISE II SINGAPORE 821653",872.935780581502,872.935780581502,980333.61352904,5345.95255877397,"CONEY ISLAND PARK",0,37569.4500826066,42200.2807024862,103.9193078,1.397917275
"653B","JURONG WEST ST 61",16,2000,"Y","N","N","N","N","N","JW",107,0,0,0,0,107,0,0,0,0,0,0,0,"642653","653B JURONG WEST STREET 61 SINGAPORE 642653",410.721959136882,410.721959136882,5636.84244656,372.376691053014,"YUNNAN PARK",0,12797.4957754351,35362.1135077482,103.6967154,1.336073093
"653B","PUNGGOL DR",18,2023,"Y","Y","N","N","N","N","PG",206,0,102,34,70,0,0,0,0,0,0,0,0,"822653","653B PUNGGOL DRIVE WATERWAY SUNRISE II SINGAPORE 822653",869.155501973161,869.155501973161,980333.61352904,5345.95255877397,"CONEY ISLAND PARK",0,37608.4569083916,42177.5710105714,103.9196583,1.397711884
"653C","JURONG WEST ST 61",16,2000,"Y","N","N","Y","N","N","JW",105,0,0,0,0,105,0,0,0,0,0,0,0,"643653","653C JURONG WEST STREET 61 DAYSTAR CHILD DEVELOPMENT CENTRE SINGAPORE 643653",463.769263614747,463.769263614747,5636.84244656,372.376691053014,"YUNNAN PARK",0,12821.8976436557,35290.5173674385,103.6969347,1.335425617
"653C","PUNGGOL DR",18,2023,"Y","N","N","Y","N","N","PG",194,0,126,0,68,0,0,0,0,0,0,0,0,"823653","653C PUNGGOL DRIVE WATERWAY SUNRISE II SINGAPORE 823653",878.415305263708,878.415305263708,980333.61352904,5345.95255877397,"CONEY ISLAND PARK",0,37675.0416378145,42126.6119621596,103.9202566,1.397251007
"654","HOUGANG AVE 8",4,1986,"Y","N","N","N","N","N","HG",18,0,0,0,0,0,18,0,0,0,0,0,0,"530654","654 HOUGANG AVENUE 8 SINGAPORE 530654",438.019873159768,438.019873159768,3347.0671118,311.313402411865,"PK VILLAS TERRACE PG",0,33390.9154520475,39416.1243650415,103.8817598,1.372739453
"654","JLN TENAGA",12,1995,"Y","N","N","N","N","N","BD",86,0,0,0,68,18,0,0,0,0,0,0,0,"410654","654 JALAN TENAGA EUNOS DAMAI VILLE SINGAPORE 410654",202.839964217135,202.839964217135,1050.713149055,163.269130481254,"JALAN SINGA PARK",0,36193.8659559895,35019.6043724329,103.9069451,1.332978277
"654","SENJA RD",20,2000,"Y","N","N","Y","N","N","BP",102,0,0,0,17,47,38,0,0,0,0,0,0,"670654","654 SENJA ROAD MY FIRST SKOOL SINGAPORE 670654",921.652718021109,921.652718021109,159926.26319664,6225.62660710876,"ZHENGHUA NATURE PARK",0,20313.4815999015,41086.6889094519,103.7642493,1.387846919
"654","WOODLANDS RING RD",12,1997,"Y","N","N","N","N","N","WL",44,0,0,0,0,0,44,0,0,0,0,0,0,"730654","654 WOODLANDS RING ROAD SINGAPORE 730654",1491.63106616617,1491.63106616617,14744.01938445,675.633377628266,"WOODLANDS HEALING GARDEN",0,24200.5095131931,46603.2159141039,103.7991765,1.437737159
"654","YISHUN AVE 4",12,1986,"Y","Y","N","N","N","N","YS",61,0,0,9,15,11,26,0,0,0,0,0,0,"760654","654 YISHUN AVENUE 4 NEE SOON CENTRAL VIEW SINGAPORE 760654",58.5775294556052,58.5775294556052,138629.68959894,1739.02790372422,"YISHUN PK",0,28789.204977666,44979.5395932704,103.8404103,1.423053464
"654A","JURONG WEST ST 61",14,2000,"Y","N","N","Y","N","N","JW",93,0,0,0,0,93,0,0,0,0,0,0,0,"641654","654A JURONG WEST STREET 61 SINGAPORE 641654",575.188572642132,575.188572642132,5636.84244656,372.376691053014,"YUNNAN PARK",0,12972.6883977984,35367.7223701073,103.6982896,1.336123905
"654A","PUNGGOL DR",18,2023,"Y","Y","N","N","N","N","PG",112,0,0,14,98,0,0,0,0,0,0,0,0,"821654","654A PUNGGOL DRIVE WATERWAY SUNRISE II SINGAPORE 821654",881.34742419955,881.34742419955,980333.61352904,5345.95255877397,"CONEY ISLAND PARK",0,37744.1744286556,42087.2483678456,103.9208778,1.396894994
"654A","SENJA RD",1,2000,"N","N","N","N","N","Y","BP",0,0,0,0,0,0,0,0,0,0,0,0,0,"671654","654A SENJA ROAD SINGAPORE 671654",911.709887095606,911.709887095606,159926.26319664,6225.62660710876,"ZHENGHUA NATURE PARK",0,20317.1308788285,41054.5128025157,103.7642821,1.387555931
"654B","JURONG WEST ST 61",16,2000,"Y","N","N","Y","N","N","JW",107,0,0,0,0,107,0,0,0,0,0,0,0,"642654","654B JURONG WEST STREET 61 PCF SPARKLETOTS PRESCHOOL @ PIONEER BLK 654B (KN) SINGAPORE 642654",536.579527148619,536.579527148619,5636.84244656,372.376691053014,"YUNNAN PARK",0,12933.7706033455,35371.8426635669,103.6979399,1.336161148
"654B","PUNGGOL DR",14,2023,"Y","N","N","N","N","N","PG",96,0,0,10,86,0,0,0,0,0,0,0,0,"822654","654B PUNGGOL DRIVE WATERWAY SUNRISE II SINGAPORE 822654",806.474505451233,806.474505451233,980333.61352904,5345.95255877397,"CONEY ISLAND PARK",0,37758.5052974688,42164.0575497922,103.9210066,1.397589623
"654C","JURONG WEST ST 61",16,2000,"Y","N","N","Y","N","N","JW",107,0,0,0,0,107,0,0,0,0,0,0,0,"643654","654C JURONG WEST STREET 61 SINGAPORE 643654",479.804106684566,479.804106684566,5636.84244656,372.376691053014,"YUNNAN PARK",0,12861.797592041,35336.8506960465,103.6972932,1.335844658
"654C","PUNGGOL DR",8,2023,"Y","N","N","Y","N","N","PG",105,0,56,21,28,0,0,0,0,0,0,0,0,"823654","654C PUNGGOL DRIVE WATERWAY SUNRISE II SINGAPORE 823654",796.001318807898,796.001318807898,980333.61352904,5345.95255877397,"CONEY ISLAND PARK",0,37681.9491780216,42217.5219495253,103.9203187,1.398073161
"654D","PUNGGOL DR",14,2023,"Y","N","N","N","N","N","PG",112,0,0,16,96,0,0,0,0,0,0,0,0,"824654","654D PUNGGOL DRIVE WATERWAY SUNRISE II SINGAPORE 824654",794.763709228774,794.763709228774,980333.61352904,5345.95255877397,"CONEY ISLAND PARK",0,37610.0783947245,42267.3171087376,103.9196729,1.398523514
"655","HOUGANG AVE 8",17,1987,"Y","N","N","N","N","N","HG",64,0,0,0,0,64,0,0,0,0,0,0,0,"530655","655 HOUGANG AVENUE 8 SINGAPORE 530655",476.407783110486,476.407783110486,3347.0671118,311.313402411865,"PK VILLAS TERRACE PG",0,33410.479154821,39450.1628286,103.8819356,1.373047281
"655","JLN TENAGA",11,1995,"Y","Y","N","N","N","N","BD",90,0,0,0,72,18,0,0,0,0,0,0,0,"410655","655 JALAN TENAGA HDB PUBLIC SHELTERS SINGAPORE 410655",245.836526801615,245.836526801615,1050.713149055,163.269130481254,"JALAN SINGA PARK",0,36183.1808923125,35061.6883334288,103.9068491,1.333358872
"655","JURONG WEST ST 61",5,2000,"N","N","N","N","Y","Y","JW",0,0,0,0,0,0,0,0,0,0,0,0,0,"640655","655 JURONG WEST STREET 61 SINGAPORE 640655",577.92974099192,577.92974099192,5636.84244656,372.376691053014,"YUNNAN PARK",0,12952.8528556919,35300.2761339129,103.6981114,1.335513937
"655","PUNGGOL EAST",1,2021,"N","N","N","N","N","Y","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"820655","655 PUNGGOL EAST WATERWAY SUNRISE I SINGAPORE 820655",632.012044011201,632.012044011201,980333.61352904,5345.95255877397,"CONEY ISLAND PARK",0,37794.8337458612,42341.9672269741,103.9213331,1.39919856
