blk_no,street,postal,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,X1room_sold,X2room_sold,X3room_sold,X4room_sold,X5room_sold,exec_sold,multigen_sold,studio_apartment_sold,X1room_rental,X2room_rental,X3room_rental,other_room_rental,address,dist_to_park_centroid,dist_to_park_boundary,diff_boundary_centroid,park_area,park_length,park_name,SVY21_X,SVY21_Y,Longitude,Latitude
10,JLN BT HO SWEE,161010,10,1962,Y,N,N,N,N,N,BM,120,0,50,0,0,0,0,0,0,0,70,0,0,10 JALAN BUKIT HO SWEE BUKIT HO SWEE VIEW SINGAPORE 161010,345.5134137,345.5122694,-0.001144259,3395.09196,244.2945385,GANGES AVE OS,27928.46029,29986.1248,103.8326758,1.28745837
10,JLN BATU,431010,12,1966,Y,N,N,Y,N,N,KWN,132,0,0,0,8,96,28,0,0,0,0,0,0,10 JALAN BATU FRIENDS @ ST HILDA'S LINK SINGAPORE 431010,371.8631107,371.8649424,0.001831721,4524.619468,378.1702916,MT BATTEN RD/OLD AIRPORT RD OS,33520.51021,31595.54369,103.8829229,1.302012898
10,JOO SENG RD,360010,20,1982,Y,N,N,N,N,N,TP,76,0,0,0,0,76,0,0,0,0,0,0,0,10 JOO SENG ROAD SINGAPORE 360010,145.4465188,145.4446867,-0.00183209,1944.375565,509.994213,MACPHERSON LINEAR PK,33213.51758,35200.88064,103.880165,1.334618334
10,LOR 7 TOA PAYOH,310010,25,1997,Y,N,N,N,N,N,TP,96,0,0,0,68,28,0,0,0,0,0,0,0,10 LORONG 7 TOA PAYOH TOA PAYOH COURT SINGAPORE 310010,854.3187166,854.3192753,0.0005587,2734.413466,254.0568142,CARMICHAEL RD PG,30660.95461,35482.47177,103.8572288,1.337165276
10,MARSILING DR,730010,22,1975,Y,Y,N,N,N,N,WL,84,0,0,0,0,84,0,0,0,0,0,0,0,10 MARSILING DRIVE MARSILING GARDENS SINGAPORE 730010,408.9388228,408.9408281,0.002005346,61142.39062,1029.559101,WOODLANDS TOWN PK EAST,21768.06433,46942.5651,103.7773186,1.440805674
10,NTH BRIDGE RD,190010,16,1973,Y,Y,N,N,N,N,KWN,224,0,0,0,0,0,0,0,0,224,0,0,0,10 NORTH BRIDGE ROAD SINGAPORE 190010,180.7591089,180.7549952,-0.004113706,3823.228242,286.8338402,NORTH BRIDGE GARDEN,31365.90561,31986.88296,103.8635628,1.30555234
10,PINE CL,391010,13,1981,Y,N,N,N,N,N,GL,120,0,0,72,48,0,0,0,0,0,0,0,0,10 PINE CLOSE SINGAPORE 391010,333.7302274,333.7344041,0.00417671,4524.619468,378.1702916,MT BATTEN RD/OLD AIRPORT RD OS,33444.77723,32384.99124,103.8822425,1.309152394
10,SELEGIE RD,180010,10,1963,Y,Y,N,N,N,N,CT,48,0,0,48,0,0,0,0,0,0,0,0,0,10 SELEGIE ROAD SELEGIE HOUSE SINGAPORE 180010,239.393178,239.386454,-0.006723953,25153.08953,817.8831101,MOUNT EMILY PK,29916.27958,31783.0194,103.8505372,1.303708794
10,ST. GEORGE'S RD,320010,4,1984,Y,N,N,N,N,N,KWN,12,0,0,0,12,0,0,0,0,0,0,0,0,10 SAINT GEORGE'S ROAD SAINT GEORGE'S EAST GARDENS SINGAPORE 320010,204.7848182,204.7826899,-0.002128283,3701.201682,366.1254351,BENG WAN RD PG,31349.11318,33998.69837,103.8634122,1.323746488
10,TECK WHYE AVE,680010,12,1977,Y,N,N,Y,N,N,CCK,153,0,0,130,22,0,1,0,0,0,0,0,0,10 TECK WHYE AVENUE PCF SPARKLETOTS PRESCHOOL @ CHUA CHU KANG BLK 10 (KN) SINGAPORE 680010,514.9847505,514.9859133,0.001162762,4114.131819,260.6873763,PHOENIX PARK,19307.61671,40271.07761,103.7552111,1.380470546
